training_loss,training_rmse,test_loss,test_rmse
4.634296,0.792192,5.423915,0.791977
4.828083,0.791589,4.560461,0.791501
4.779893,0.791036,5.627947,0.791176
4.504710,0.790881,4.632322,0.790761
4.816804,0.790159,4.863373,0.790169
4.622974,0.789874,5.074286,0.789804
4.584697,0.789577,5.462597,0.789443
4.582165,0.789130,5.364465,0.789019
4.814025,0.788793,4.681490,0.788706
4.989111,0.788254,5.229733,0.788428
5.866560,0.788005,4.532167,0.787917
4.609150,0.787560,4.847183,0.787707
5.224853,0.787277,4.643579,0.787391
4.525975,0.787338,5.158306,0.787203
4.422680,0.787031,4.673609,0.786936
4.858387,0.787198,5.111428,0.787000
5.708989,0.786722,5.536855,0.786691
4.687000,0.786478,4.623141,0.786378
5.931177,0.786130,5.912229,0.786054
4.522286,0.785689,6.234027,0.785660
4.850437,0.785769,4.481246,0.785786
5.145070,0.785617,4.556998,0.785560
4.897672,0.785390,5.423470,0.785414
4.821789,0.785116,5.390029,0.785048
4.520465,0.784807,5.465037,0.784897
4.670198,0.784764,5.382254,0.784703
4.951314,0.784439,4.309950,0.784576
4.693765,0.784531,4.613085,0.784349
4.337917,0.784226,4.551859,0.784218
5.212564,0.784114,4.514600,0.784029
7.308283,0.784077,4.382496,0.783947
4.577528,0.783762,4.647268,0.783779
4.505822,0.783620,5.038427,0.783757
5.112103,0.783745,4.725642,0.783693
4.981846,0.783635,4.609179,0.783558
4.551643,0.783378,4.929439,0.783423
5.040662,0.783273,4.775238,0.783267
4.661622,0.783325,4.579256,0.783222
4.913614,0.783089,4.708204,0.783134
4.850555,0.783128,4.868511,0.783148
4.564043,0.783066,4.605762,0.783033
4.893454,0.782890,4.818731,0.782863
5.235170,0.782752,4.828223,0.782847
4.731294,0.782669,4.968154,0.782705
4.799212,0.782683,5.195980,0.782702
5.793953,0.782685,4.544825,0.782605
4.379346,0.782279,5.705329,0.782401
4.916037,0.782437,5.241565,0.782384
5.028148,0.782249,4.388649,0.782304
4.598042,0.782182,4.609434,0.782180
4.703656,0.781965,4.595814,0.781964
4.485733,0.782040,4.602566,0.781996
4.692960,0.781907,5.086648,0.781933
4.602577,0.781809,4.665473,0.781882
4.556282,0.781905,5.057889,0.781974
4.587266,0.781839,4.642620,0.781818
5.216834,0.781795,4.536202,0.781748
4.411841,0.781684,4.822758,0.781713
4.462331,0.781688,5.317637,0.781721
4.410144,0.781600,5.462260,0.781524
4.714272,0.781309,5.084675,0.781388
5.140609,0.781337,4.279267,0.781379
4.505299,0.781362,4.872517,0.781323
4.658274,0.781350,4.545241,0.781297
4.712526,0.781355,4.370581,0.781262
4.197159,0.781017,4.696609,0.781091
5.206614,0.781121,4.589424,0.781093
4.164476,0.781016,5.014369,0.781066
4.239994,0.781124,4.249999,0.781040
4.554865,0.781034,5.282557,0.781072
4.276602,0.781034,4.796023,0.780993
4.699665,0.780910,5.073394,0.780934
4.791117,0.781000,4.258760,0.781011
4.280108,0.780992,4.790876,0.781053
4.506205,0.781148,4.335961,0.781167
4.760465,0.781141,4.353368,0.781129
3.932276,0.781177,5.315605,0.781125
4.151054,0.781084,4.676652,0.781079
4.217027,0.781062,4.784666,0.780995
4.577401,0.780917,4.325366,0.780949
4.277750,0.781087,4.038424,0.781028
4.258996,0.780881,4.940904,0.780887
4.728946,0.780783,4.013000,0.780828
3.696693,0.780819,4.257180,0.780872
3.870336,0.780899,3.844278,0.780818
4.678884,0.780830,3.946829,0.780824
4.165624,0.780789,3.847970,0.780818
4.423618,0.780778,4.014433,0.780791
4.564272,0.780855,4.347894,0.780788
3.713284,0.780728,3.908051,0.780728
4.484178,0.780823,4.059299,0.780739
5.038254,0.780715,4.179965,0.780707
4.052094,0.780782,4.406456,0.780797
3.917008,0.780745,4.127857,0.780838
4.024053,0.780796,3.975816,0.780789
3.850222,0.780707,4.304469,0.780780
3.773878,0.780742,4.400897,0.780729
3.763422,0.780745,4.907578,0.780650
4.109934,0.780653,3.907954,0.780653
4.005831,0.780651,3.766606,0.780630
4.107110,0.780611,4.103704,0.780645
4.195516,0.780729,3.909492,0.780737
3.956990,0.780823,3.463092,0.780761
3.586668,0.780726,4.027043,0.780757
4.575810,0.780763,3.859797,0.780817
3.670166,0.780775,3.810091,0.780804
4.089358,0.780812,3.970584,0.780857
4.195035,0.780940,4.005405,0.780898
4.220849,0.780860,4.766312,0.780905
3.803391,0.781024,4.114361,0.781009
4.244714,0.781069,3.897119,0.781038
4.766163,0.781109,3.807535,0.781062
3.856279,0.781081,4.446086,0.781106
3.875370,0.781137,3.675357,0.781145
3.655493,0.781186,3.978020,0.781197
3.539848,0.781221,3.987431,0.781249
4.204520,0.781349,3.845554,0.781311
3.311348,0.781310,3.796806,0.781357
3.935433,0.781376,3.904919,0.781447
3.521946,0.781551,4.085082,0.781548
3.852434,0.781621,3.484527,0.781587
3.838660,0.781587,3.776640,0.781574
3.965160,0.781633,3.673372,0.781598
4.252339,0.781543,3.250531,0.781544
3.846530,0.781488,3.831159,0.781559
4.060779,0.781601,3.287996,0.781608
3.648695,0.781679,3.467450,0.781662
3.765995,0.781792,3.532431,0.781730
4.145009,0.781848,3.571242,0.781811
4.023806,0.781701,4.001237,0.781779
3.707817,0.781851,3.972785,0.781899
