x,y,z,timestamp,Beacon1,Beacon2
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,125,2025.03.05-21.21.35,-92,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1393,3284,124,2025.03.05-21.21.35,-94,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1394,3283,124,2025.03.05-21.21.35,-91,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3282,125,2025.03.05-21.21.36,-95,-86
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
1395,3284,125,2025.03.05-21.21.36,-94,-83
